epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,191.352,1.30171,1.40691,1.19143,0.67829,0.78952,0.72496,0.45158,1.2829,1.75978,1.23261,0.000665158,0.000665158,0.000665158
2,371.39,1.30606,0.84531,1.19686,0.91975,0.77585,0.8593,0.53381,1.40177,0.90551,1.28805,0.00130545,0.00130545,0.00130545
3,548.032,1.31059,0.82488,1.19827,0.93912,0.85011,0.92422,0.58759,1.27131,0.77195,1.19355,0.00191935,0.00191935,0.00191935
4,727.617,1.27263,0.77561,1.17463,0.9489,0.88064,0.92316,0.59772,1.26548,0.7453,1.17855,0.0018812,0.0018812,0.0018812
5,903.304,1.2584,0.73824,1.16295,0.95999,0.88656,0.93838,0.61786,1.23761,0.65335,1.15646,0.0018416,0.0018416,0.0018416
6,1077.1,1.2349,0.69355,1.15383,0.9318,0.87062,0.9171,0.61304,1.18895,0.70194,1.15786,0.001802,0.001802,0.001802
7,1251.2,1.20997,0.66936,1.13071,0.96284,0.90979,0.94017,0.6375,1.18912,0.59456,1.13018,0.0017624,0.0017624,0.0017624
8,1426.93,1.21196,0.65133,1.13373,0.95974,0.90934,0.94563,0.63297,1.20586,0.59161,1.15013,0.0017228,0.0017228,0.0017228
9,1601.2,1.18391,0.63228,1.12473,0.97412,0.92392,0.95499,0.65123,1.17339,0.54011,1.11542,0.0016832,0.0016832,0.0016832
10,1780.15,1.17209,0.60742,1.10826,0.95469,0.91185,0.94607,0.64172,1.18969,0.55848,1.12044,0.0016436,0.0016436,0.0016436
11,1957.55,1.16949,0.60507,1.111,0.97399,0.91344,0.94904,0.65254,1.15172,0.55644,1.10661,0.001604,0.001604,0.001604
12,2134.29,1.16322,0.59895,1.11155,0.96173,0.91578,0.95318,0.65328,1.16319,0.53349,1.10932,0.0015644,0.0015644,0.0015644
13,2311.12,1.15554,0.58335,1.10172,0.97971,0.91526,0.95407,0.65267,1.16023,0.54717,1.10323,0.0015248,0.0015248,0.0015248
14,2485.96,1.15494,0.5808,1.10688,0.96503,0.91777,0.95078,0.64967,1.14527,0.54818,1.11505,0.0014852,0.0014852,0.0014852
15,2662.23,1.14089,0.57176,1.09255,0.97639,0.92027,0.95474,0.65882,1.13322,0.50742,1.092,0.0014456,0.0014456,0.0014456
16,2838.18,1.14285,0.56856,1.09053,0.97772,0.92437,0.96088,0.6669,1.14435,0.51962,1.08896,0.001406,0.001406,0.001406
17,3014.4,1.12822,0.55532,1.08719,0.97035,0.9303,0.95405,0.65867,1.13624,0.51977,1.08651,0.0013664,0.0013664,0.0013664
18,3188.51,1.12911,0.55237,1.07735,0.98352,0.92443,0.96139,0.66357,1.135,0.50933,1.08168,0.0013268,0.0013268,0.0013268
19,3365.1,1.13006,0.5445,1.07971,0.98125,0.92998,0.96246,0.67358,1.12349,0.49976,1.08404,0.0012872,0.0012872,0.0012872
20,3542.93,1.11163,0.53828,1.08032,0.97573,0.93394,0.96435,0.67379,1.11836,0.48192,1.07847,0.0012476,0.0012476,0.0012476
