epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,407.412,1.06966,1.36389,1.11426,0.95168,0.84794,0.89733,0.68835,0.85108,0.4743,0.97067,7.92577e-05,7.92577e-05,7.92577e-05
2,794.209,0.87257,0.51721,1.00024,0.92169,0.9361,0.94769,0.73357,0.84418,0.41352,0.95997,0.000142891,0.000142891,0.000142891
3,1174.9,0.82433,0.44999,0.98037,0.948,0.94757,0.95887,0.75103,0.80302,0.3848,0.94611,0.000190815,0.000190815,0.000190815
4,1555.31,0.78145,0.40503,0.95828,0.95816,0.94614,0.96092,0.7706,0.75422,0.34942,0.91307,0.000167314,0.000167314,0.000167314
5,1936.52,0.74357,0.36664,0.93986,0.96998,0.96178,0.97245,0.79899,0.71355,0.31864,0.89817,0.000143752,0.000143752,0.000143752
6,2318.21,0.71622,0.34217,0.93302,0.97007,0.9573,0.97288,0.80423,0.69561,0.3046,0.89131,0.00012019,0.00012019,0.00012019
7,2701.76,0.69514,0.32274,0.92422,0.97929,0.96266,0.97897,0.82356,0.68349,0.28979,0.88591,9.6628e-05,9.6628e-05,9.6628e-05
8,3088.71,0.66781,0.30491,0.91294,0.97318,0.97058,0.98028,0.8274,0.67515,0.27988,0.88521,7.3066e-05,7.3066e-05,7.3066e-05
9,3468.83,0.64417,0.28792,0.90372,0.98955,0.96569,0.98256,0.83261,0.66413,0.26651,0.87882,4.9504e-05,4.9504e-05,4.9504e-05
10,3852.65,0.62307,0.27507,0.89675,0.98488,0.97293,0.98215,0.83701,0.65761,0.26181,0.88019,2.5942e-05,2.5942e-05,2.5942e-05
